date,nav,daily_return,option_pnl,hedge_pnl,option_fees,hedge_fees,total_pnl,cumulative_pnl,net_delta_before_hedge,net_delta_after_hedge,net_gamma,net_vega,net_theta,open_positions
2025-01-01,999280.0360667796,-0.00071996393322038,-792.4688934999999,1178.332360699997,2.0820410575,1103.745359362919,-719.963933220422,-719.963933220366,-3.1274400000000004,-0.0004399999999988,-0.0012799999999999,-45.77457,989.05186,5
2025-01-02,998364.8398061048,-0.0009158556437063314,-5891.177227499971,6767.762748299971,2.419567639999999,1789.3622138346798,-915.1962606746804,-1635.1601938952226,-3.66632,-0.0193200000000004,-0.00117,-43.70674,921.76732,5
2025-01-03,998546.414137351,0.00018187172064410007,-1516.7825136000001,2853.9757054000092,2.216610988725,1153.402249565158,181.57433124612612,-1453.5858626490226,-4.41113,0.0018700000000011,-0.00068,-43.16481,657.6329000000001,5
2025-01-04,998594.9577082486,4.861423586355329e-05,502.0096483500256,171.6988206000242,1.620593344275,623.5443047081553,48.543570897619475,-1405.0422917513642,-2.7805,0.0144999999999955,-0.00118,-90.53453,1012.15486,5
2025-01-05,998391.5294159872,-0.00020371451977718724,866.2032623200002,-50.00795449998441,0.6223066329350004,1019.0012934483238,-203.42829226124297,-1608.4705840128008,-2.73793,7.000000000134676e-05,-0.00146,-64.36545000000001,1110.0075499999998,5
2025-01-06,997526.3850897196,-0.0008665381273553763,-12126.698221550014,12529.452684000005,1.8406802299500011,1266.058108487804,-865.1443262677626,-2473.6149102804484,-4.76722,-0.0042199999999983,-0.0003199999999999,-14.99137,341.79785000000004,5
2025-01-07,996835.304413706,-0.0006927943825280058,7151.338780719974,-7175.014863999981,2.030004212605,665.3745885209182,-691.0806760135297,-3164.695586294052,-0.0325199999999999,0.0154800000000011,-5e-05,-3.17683,21.64233,5
2025-01-08,995197.0732648796,-0.0016434321111749028,3570.827206760003,-3724.3905381000095,2.5829907642249985,1482.0848267223373,-1638.231148826569,-4802.92673512036,-1.59661,0.0003900000000003,-0.00123,-58.21249,1028.49866,5
2025-01-09,992362.4568604828,-0.0028482965641141167,3833.237392429999,-4635.02184370001,1.861877214999998,2030.9700759118423,-2834.616404396854,-7637.543139517191,-1.4461000000000002,-9.999999999821264e-05,-0.00102,-37.386770000000006,773.3992,5
2025-01-10,989558.8746469686,-0.0028251594910028155,-1361.0989826599853,920.6456619999617,2.2945979982000004,2360.8342948559057,-2803.5822135141293,-10441.125353031443,-2.05051,0.0044900000000049,-0.0017699999999999,-42.29274,554.32741,5
