entry_time,exit_time,symbol,symbol_id,expiry,dte_entry,strike,spot_entry,spot_exit,delta_entry,gamma_entry,vega_entry,theta_entry,bid_entry,ask_entry,mark_entry,entry_execution_price,exit_execution_price,quantity,side,option_entry_fee,option_exit_fee,option_gross_pnl,option_net_pnl,exit_reason
28928160,28930080,BTC-2JAN25-93000-C,14,1735804800000000.0,1.3333333333333333,93000.0,93420.5549,95830.9,0.57785,0.00014,22.10625,-397.65654,0.014,0.0145,0.0143,0.014,0.02954057616071637,-1.0,sell,0.6539438843000001,0.0,-1523.012231399994,-1523.666175284294,expiry_settlement
28928161,28930080,BTC-2JAN25-94000-C,15,1735804800000000.0,1.332638888888889,94000.0,93450.422,95830.9,0.4356,0.00015,22.24365,-400.08825,0.009,0.0095,0.0092,0.009,0.01910552859255203,-1.0,sell,0.420526899,0.0,-989.8462019999942,-990.2667288989942,expiry_settlement
28928221,28930080,BTC-2JAN25-95000-C,16,1735804800000000.0,1.2909722222222222,95000.0,94062.0777,95830.9,0.37521,0.00014,21.22093,-392.47486,0.007,0.0075,0.0073,0.007,0.008670481024387689,-1.0,sell,0.32921727195,0.0,-172.46545609999419,-172.79467337194419,expiry_settlement
28928641,28930080,BTC-2JAN25-93500-C,43,1735804800000000.0,0.9993055555555556,93500.0,93563.514,95830.9,0.51601,0.00018,19.50826,-452.07307,0.0095,0.01,0.01,0.0095,0.0243230523766342,-1.0,sell,0.44442669149999997,0.0,-1442.0466169999943,-1442.4910436914943,expiry_settlement
28928644,28930080,BTC-2JAN25-94500-C,44,1735804800000000.0,0.9972222222222222,94500.0,93570.5243,95830.9,0.34659,0.00016,18.04453,-419.81264,0.005,0.0055,0.0056,0.005,0.01388800480846986,-1.0,sell,0.23392631075000003,0.0,-863.0473784999941,-863.2813048107441,expiry_settlement
28930080,28931520,BTC-3JAN25-96000-C,37,1735891200000000.0,1.0,96000.0,95830.9,96340.216,0.48129,0.00015,19.98286,-538.9291,0.01,0.0105,0.0104,0.01,0.003531401673419544,-1.0,sell,0.4791545,0.0,618.0929999999996,617.6138454999996,expiry_settlement
28930087,28931520,BTC-3JAN25-95000-C,36,1735891200000000.0,0.9951388888888889,95000.0,95821.77,96340.216,0.62649,0.00014,18.94104,-503.83294,0.0155,0.016,0.0158,0.0155,0.01391128290598809,-1.0,sell,0.7426187175,0.0,145.02143499999966,144.27881628249966,expiry_settlement
28930114,28931520,BTC-3JAN25-95500-C,63,1735891200000000.0,0.9763888888888889,95500.0,95755.76,96340.216,0.54469,0.00015,19.62621,-507.63341,0.0115,0.0125,0.012,0.0115,0.008721342289703818,-1.0,sell,0.55059562,0.0,260.97523999999953,260.4246443799995,expiry_settlement
28930117,28931520,BTC-3JAN25-96500-C,64,1735891200000000.0,0.9743055555555555,96500.0,95735.03,96340.216,0.3901,0.00015,18.97231,-499.0873,0.007,0.0075,0.0073,0.007,0.0,-1.0,sell,0.335072605,0.0,670.14521,669.810137395,expiry_settlement
28930132,28931520,BTC-3JAN25-97000-C,38,1735891200000000.0,0.9638888888888889,97000.0,96038.83,96340.216,0.3634,0.00014,18.51662,-494.30776,0.0065,0.007,0.0067,0.0065,0.0,-1.0,sell,0.3121261975,0.0,624.252395,623.9402688025,expiry_settlement
